Texto,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Mapping circular economy principles and servitisation approach in business model canvas: an integrated literature review,Future Business Journal,,9,1,10.1186/s43093-023-00211-6,Sehrish Atif,2023,http://link.springer.com/article/10.1186/s43093-023-00211-6,Article
A comprehensive overview of software product management challenges,Empirical Software Engineering,,27,5,10.1007/s10664-022-10134-5,Olga SpringerJakub Miler,2022,http://link.springer.com/article/10.1007/s10664-022-10134-5,Article
C2M: a maturity model for the evaluation of communication in distributed software development,Empirical Software Engineering,,27,7,10.1007/s10664-022-10211-9,Ivaldir de Farias JuniorSabrina MarczakRodrigo SantosCleyton RodriguesHermano Moura,2022,http://link.springer.com/article/10.1007/s10664-022-10211-9,Article
"EANM’23 Abstract Book Congress Sep 9-13, 2023",European Journal of Nuclear Medicine and Molecular Imaging,,,,10.1007/s00259-023-06333-x,,2023,http://link.springer.com/article/10.1007/s00259-023-06333-x,Article
Big data in the food supply chain: a literature review,"Journal of Data, Information and Management",,4,1,10.1007/s42488-021-00064-0,Abderahman RejebJohn G. KeoghKarim Rejeb,2022,http://link.springer.com/article/10.1007/s42488-021-00064-0,Article
Towards the Discovery of Data Quality Attributes for Web Portals,Web Engineering,,,,10.1007/978-3-642-02818-2_20,Carmen MoragaMa Ángeles MoragaCoral CaleroÁngélica Caro,2009,http://link.springer.com/chapter/10.1007/978-3-642-02818-2_20,Chapter
"Population Health Adaptation Approaches to the Increasing Severity and Frequency of Weather-Related Disasters Resulting From our Changing Climate: A Literature Review and Application to Charleston, South Carolina",Current Environmental Health Reports,,5,4,10.1007/s40572-018-0223-y,Jennifer RunkleErik R. SvendsenMark HamannRichard K. KwokJohn Pearce,2018,http://link.springer.com/article/10.1007/s40572-018-0223-y,Article
Abstracts of the 2011 International MASCC/ISOO Symposium,Supportive Care in Cancer,,19,2,10.1007/s00520-011-1184-y,,2011,http://link.springer.com/article/10.1007/s00520-011-1184-y,Article
Development of a framework for adopting Industry 4.0 integrated sustainable supply chain practices: ISM–MICMAC approach,Annals of Operations Research,,,,10.1007/s10479-023-05427-x,Deepak Datta NirmalK. Nageswara ReddyAmrik S. SohalMinakshi Kumari,2023,http://link.springer.com/article/10.1007/s10479-023-05427-x,Article
Climate Adaptation Modelling,Springer Climate,,,,10.1007/978-3-030-86211-4,Claus KondrupPaola MercoglianoAssist. Prof. Francesco BoselloJaroslav MysiakEnrico ScoccimarroAngela RizzoRhian EbreyMarleen de RuiterAd JeukenPaul Watkiss,2022,http://link.springer.com/book/10.1007/978-3-030-86211-4,Book
"Software engineering techniques for statically analyzing mobile apps: research trends, characteristics, and potential for industrial adoption",Journal of Internet Services and Applications,,12,1,10.1186/s13174-021-00134-x,Marco AutiliIvano MalavoltaAlexander PerucciGian Luca ScocciaRoberto Verdecchia,2021,http://link.springer.com/article/10.1186/s13174-021-00134-x,Article
Free Web-based Personal Health Records: An Analysis of Functionality,Journal of Medical Systems,,37,6,10.1007/s10916-013-9990-z,José Luis Fernández-AlemánCarlos Luis Seva-LlorAmbrosio TovalSofia OuhbiLuis Fernández-Luque,2013,http://link.springer.com/article/10.1007/s10916-013-9990-z,Article
A Systematic Review of Agent-Based Test Case Generation for Regression Testing,Arabian Journal for Science and Engineering,,43,2,10.1007/s13369-017-2796-4,Pardeep Kumar AroraRajesh Bhatia,2018,http://link.springer.com/article/10.1007/s13369-017-2796-4,Article
"Annual Congress of the European Association of Nuclear Medicine October 13 – 17, 2018 Düsseldorf, Germany",European Journal of Nuclear Medicine and Molecular Imaging,,45,1,10.1007/s00259-018-4148-3,,2018,http://link.springer.com/article/10.1007/s00259-018-4148-3,Article
Ontology-Based Identification of Research Gaps and Immature Research Areas,Multidisciplinary Research and Practice for Information Systems,,,,10.1007/978-3-642-32498-7_1,Kristian BeckersStefan EickerStephan FaßbenderMaritta HeiselHolger SchmidtWidura Schwittek,2012,http://link.springer.com/chapter/10.1007/978-3-642-32498-7_1,Chapter
"Advances in database systems education: Methods, tools, curricula, and way forward",Education and Information Technologies,,28,3,10.1007/s10639-022-11293-0,Muhammad IshaqAdnan AbidMuhammad Shoaib FarooqMuhammad Faraz ManzoorUzma FarooqKamran AbidMamoun Abu Helou,2023,http://link.springer.com/article/10.1007/s10639-022-11293-0,Article
Knowledge for Governance,Knowledge and Space,,,,10.1007/978-3-030-47150-7,Johannes GlücklerGary HerrigelMichael Handke,2020,http://link.springer.com/book/10.1007/978-3-030-47150-7,Book
26th IFSO World Congress,Obesity Surgery,,33,2,10.1007/s11695-023-06727-8,,2023,http://link.springer.com/article/10.1007/s11695-023-06727-8,Article
"World Congress on Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (WCO-IOF-ESCEO 2021): Poster Abstracts",Osteoporosis International,,32,1,10.1007/s00198-021-06125-9,,2021,http://link.springer.com/article/10.1007/s00198-021-06125-9,Article
"Society of general internal medicine 23rd annual meeting Boston, Massachusetts May 4–6, 2000 abstracts",Journal of General Internal Medicine,,15,1,10.1007/s11606-000-0019-1,,2000,http://link.springer.com/article/10.1007/s11606-000-0019-1,Article
Analyzing the interactions among factors affecting cloud adoption for software testing: a two-stage ISM-ANN approach,Soft Computing,,26,16,10.1007/s00500-022-07062-3,Sikandar AliSamad BaseerIrshad Ahmed AbbasiBader AlouffiWael AlosaimiJiwei Huang,2022,http://link.springer.com/article/10.1007/s00500-022-07062-3,Article
"2021 Scientific Session of the Society of American Gastrointestinal and Endoscopic Surgeons (SAGES), Las Vegas, Nevada, 31 August–3 September 2021: Posters",Surgical Endoscopy,,35,1,10.1007/s00464-021-08748-9,,2021,http://link.springer.com/article/10.1007/s00464-021-08748-9,Article
Nature-inspired metaheuristic methods in software testing,Soft Computing,,,,10.1007/s00500-023-08382-8,Niloofar KhoshniatAmirhossein JamaraniAhmad AhmadzadehMostafa Haghi KashaniEbrahim Mahdipour,2023,http://link.springer.com/article/10.1007/s00500-023-08382-8,Article
Developing research questions in conversation with the literature: operationalization & tool support,Empirical Software Engineering,,27,7,10.1007/s10664-022-10204-8,Oscar DíazJeremías P. Contell,2022,http://link.springer.com/article/10.1007/s10664-022-10204-8,Article
What is a process model composed of?,Software and Systems Modeling,,20,4,10.1007/s10270-020-00847-w,Greta AdamoChiara GhidiniChiara Di Francescomarino,2021,http://link.springer.com/article/10.1007/s10270-020-00847-w,Article
"2015 Scientific Session of the Society of American Gastrointestinal and Endoscopic Surgeons (SAGES), Nashville, Tennessee, USA, 15–18 April 2015",Surgical Endoscopy,,29,1,10.1007/s00464-015-4130-0,,2015,http://link.springer.com/article/10.1007/s00464-015-4130-0,Article
"Design Thinking: from Bibliometric Analysis to Content Analysis, Current Research Trends, and Future Research Directions",Journal of the Knowledge Economy,,,,10.1007/s13132-022-00920-3,Arabinda Bhandari,2022,http://link.springer.com/article/10.1007/s13132-022-00920-3,Article
Multi-criteria approaches for urban passenger transport systems: a literature review,Annals of Operations Research,,226,1,10.1007/s10479-014-1681-8,Johanna Camargo PérezMartha Helena CarrilloJairo R. Montoya-Torres,2015,http://link.springer.com/article/10.1007/s10479-014-1681-8,Article
CIRSE 2019 Abstracts,CardioVascular and Interventional Radiology,,42,3,10.1007/s00270-019-02282-x,,2019,http://link.springer.com/article/10.1007/s00270-019-02282-x,Article
Online tools supporting the conduct and reporting of systematic reviews and systematic maps: a case study on CADIMA and review of existing tools,Environmental Evidence,,7,1,10.1186/s13750-018-0115-5,Christian KohlEmma J. McIntoshStefan UngerNeal R. HaddawaySteffen KeckeJoachim SchiemannRalf Wilhelm,2018,http://link.springer.com/article/10.1186/s13750-018-0115-5,Article
Does agile methodology fit all characteristics of software projects? Review and analysis,Empirical Software Engineering,,28,4,10.1007/s10664-023-10334-7,David ItzikGelbard Roy,2023,http://link.springer.com/article/10.1007/s10664-023-10334-7,Article
Knowledge Management and Reflective Practice in Daily Stand-Up and Retrospective Meetings,Agile Processes in Software Engineering and Extreme Programming,,,,10.1007/978-3-319-57633-6_21,Yanti Andriyani,2017,http://link.springer.com/chapter/10.1007/978-3-319-57633-6_21,Chapter
Prioritizing Management Success Factors in Offshore Software Development,Arabian Journal for Science and Engineering,,45,12,10.1007/s13369-020-04607-2,Muhammad Azeem AkbarSajjad MahmoodArif Ali KhanAhmed AlSanadAbdu Gumaei,2020,http://link.springer.com/article/10.1007/s13369-020-04607-2,Article
Systematic Review Analysis on SQLIA Detection and Prevention Approaches,Wireless Personal Communications,,112,4,10.1007/s11277-020-07151-2,Muhammad Saidu AlieroKashif Naseer QureshiMuhammad Fermi PashaImran GhaniRufai Aliyu Yauri,2020,http://link.springer.com/article/10.1007/s11277-020-07151-2,Article
Abstracts of the 17th Congress of the European Geriatric Medicine Society,European Geriatric Medicine,,12,1,10.1007/s41999-021-00585-2,,2021,http://link.springer.com/article/10.1007/s41999-021-00585-2,Article
On the current state of combining human and artificial intelligence for strategic organizational decision making,Business Research,,13,3,10.1007/s40685-020-00133-x,Anna TrunkHendrik BirkelEvi Hartmann,2020,http://link.springer.com/article/10.1007/s40685-020-00133-x,Article
An empirical study for prioritizing issue of software project management team,"Cognition, Technology & Work",,,,10.1007/s10111-023-00731-9,Abdul Wahid KhanMuhammad Sana UllahHathal Salamah AlwageedFaheem KhanJawad KhanYoungmoon LeeJaved Khan,2023,http://link.springer.com/article/10.1007/s10111-023-00731-9,Article
Identification and prioritization of DevOps success factors using fuzzy-AHP approach,Soft Computing,,27,4,10.1007/s00500-020-05150-w,Muhammad Azeem AkbarSajjad MahmoodMuhammad ShafiqAhmed AlsanadAbeer Abdul-Aziz AlsanadAbdu Gumaei,2023,http://link.springer.com/article/10.1007/s00500-020-05150-w,Article
How consistency is handled in model-driven software engineering and UML: an expert opinion survey,Software Quality Journal,,31,1,10.1007/s11219-022-09585-2,Damiano TorreMarcela GeneroYvan LabicheMaged Elaasar,2023,http://link.springer.com/article/10.1007/s11219-022-09585-2,Article
Characterizing industry-academia collaborations in software engineering: evidence from 101 projects,Empirical Software Engineering,,24,4,10.1007/s10664-019-09711-y,Vahid GarousiDietmar PfahlJoão M. FernandesMichael FeldererMika V. MäntyläDavid ShepherdAndrea ArcuriAhmet CoşkunçayBedir Tekinerdogan,2019,http://link.springer.com/article/10.1007/s10664-019-09711-y,Article
Accessible maps and the current role of collective intelligence,GeoJournal,,84,3,10.1007/s10708-018-9876-1,Valmir Luiz MarquesAlexandre Reis Graeml,2019,http://link.springer.com/article/10.1007/s10708-018-9876-1,Article
ICT for sustainability and socio-economic development in fishery: a bibliometric analysis and future research agenda,"Environment, Development and Sustainability",,25,3,10.1007/s10668-022-02131-x,Manoj Kumar DashChetanya SinghGayatri PandaDiksha Sharma,2023,http://link.springer.com/article/10.1007/s10668-022-02131-x,Article
A systematic review of state-based test tools,International Journal on Software Tools for Technology Transfer,,17,1,10.1007/s10009-013-0291-0,Muhammad ShafiqueYvan Labiche,2015,http://link.springer.com/article/10.1007/s10009-013-0291-0,Article
Managing uncertainty in software projects,Innovations in Systems and Software Engineering,,14,3,10.1007/s11334-017-0297-y,Marcelo MarinhoSuzana SampaioHermano Moura,2018,http://link.springer.com/article/10.1007/s11334-017-0297-y,Article
Business process modeling language selection for research modelers,Software and Systems Modeling,,,,10.1007/s10270-023-01110-8,Siamak FarshidiIzaak Beer KwantesSlinger Jansen,2023,http://link.springer.com/article/10.1007/s10270-023-01110-8,Article
Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,Software Quality Journal,,25,4,10.1007/s11219-016-9319-5,Vahid GarousiMatt M. EskandarKadir Herkiloğlu,2017,http://link.springer.com/article/10.1007/s11219-016-9319-5,Article
Assistive technology in large-scale assessments for students with visual impairments: A systematic review and recommendations based on the Brazilian reality,Education and Information Technologies,,26,3,10.1007/s10639-020-10419-6,Lucinda A LeriaPriscila BenitezFrancisco J Fraga,2021,http://link.springer.com/article/10.1007/s10639-020-10419-6,Article
Human-centred design in industry 4.0: case study review and opportunities for future research,Journal of Intelligent Manufacturing,,33,1,10.1007/s10845-021-01796-x,Hien Nguyen NgocGanix LasaIon Iriarte,2022,http://link.springer.com/article/10.1007/s10845-021-01796-x,Article
Abstracts for MASCC/ISOO Annual Meeting 2021,Supportive Care in Cancer,,29,1,10.1007/s00520-021-06285-8,,2021,http://link.springer.com/article/10.1007/s00520-021-06285-8,Article
Applications of educational data mining and learning analytics on data from cybersecurity training,Education and Information Technologies,,27,9,10.1007/s10639-022-11093-6,Valdemar ŠvábenskýJan VykopalPavel ČeledaLydia Kraus,2022,http://link.springer.com/article/10.1007/s10639-022-11093-6,Article
Applications of ontologies in requirements engineering: a systematic review of the literature,Requirements Engineering,,21,4,10.1007/s00766-015-0222-6,Diego DermevalJéssyka VilelaIg Ibert BittencourtJaelson CastroSeiji IsotaniPatrick BritoAlan Silva,2016,http://link.springer.com/article/10.1007/s00766-015-0222-6,Article
11th European Headache Federation Congress jointly with 31st Congress of the Italian Society for the Study of Headaches,The Journal of Headache and Pain,,18,1,10.1186/s10194-017-0817-z,,2017,http://link.springer.com/article/10.1186/s10194-017-0817-z,Article
Data-driven innovation development: an empirical analysis of the antecedents using PLS-SEM and fsQCA,Annals of Operations Research,,,,10.1007/s10479-022-04873-3,Mohamamd Alamgir HossainMohammed QuaddusMd Moazzem HossainGopika Gopakumar,2022,http://link.springer.com/article/10.1007/s10479-022-04873-3,Article
A situational method for semi-automated Enterprise Architecture Documentation,Software & Systems Modeling,,15,2,10.1007/s10270-014-0407-3,Matthias FarwickChristian M. SchwedaRuth BreuInge Hanschke,2016,http://link.springer.com/article/10.1007/s10270-014-0407-3,Article
Proceedings of the 25th European Paediatric Rheumatology Congress (PReS 2018),Pediatric Rheumatology,,16,2,10.1186/s12969-018-0265-6,,2018,http://link.springer.com/article/10.1186/s12969-018-0265-6,Article
"A Systematic Literature Network Analysis: Development of Manufacturing, Enhancement and Sustainability of Fiber-Reinforced Polymer Composites (1998–2020) and Future Research Agenda",Fibers and Polymers,,24,3,10.1007/s12221-023-00065-3,Ivan King-Hei OrChris Kwan-Yu LoChi-Wai Kan,2023,http://link.springer.com/article/10.1007/s12221-023-00065-3,Article
ESICM LIVES 2021: Part 1,Intensive Care Medicine Experimental,,9,1,10.1186/s40635-021-00413-8,,2021,http://link.springer.com/article/10.1186/s40635-021-00413-8,Article
A systematic approach for business service consolidation in virtual organizations,Service Oriented Computing and Applications,,12,1,10.1007/s11761-017-0225-x,Hodjat Soleimani MalekanKatarzyna AdamiakHamideh Afsarmanesh,2018,http://link.springer.com/article/10.1007/s11761-017-0225-x,Article
Agent-based modeling (ABM) for urban neighborhood energy systems: literature review and proposal for an all integrative ABM approach,Energy Informatics,,5,4,10.1186/s42162-022-00247-y,Petrit VuthiIrene PetersJan Sudeikat,2022,http://link.springer.com/article/10.1186/s42162-022-00247-y,Article
Factors Affecting Students’ Performance in Higher Education: A Systematic Review of Predictive Data Mining Techniques,"Technology, Knowledge and Learning",,24,4,10.1007/s10758-019-09408-7,Amjed Abu SaaMostafa Al-EmranKhaled Shaalan,2019,http://link.springer.com/article/10.1007/s10758-019-09408-7,Article
SERP-test: a taxonomy for supporting industry–academia communication,Software Quality Journal,,25,4,10.1007/s11219-016-9322-x,Emelie EngströmKai PetersenNauman bin AliElizabeth Bjarnason,2017,http://link.springer.com/article/10.1007/s11219-016-9322-x,Article
Descriptive theory of awareness for groupware development,Journal of Ambient Intelligence and Humanized Computing,,10,12,10.1007/s12652-018-1165-9,César A. CollazosFrancisco L. GutiérrezJesús GallardoManuel OrtegaHabib M. FardounAna Isabel Molina,2019,http://link.springer.com/article/10.1007/s12652-018-1165-9,Article
Determinants of diet and physical activity (DEDIPAC): a summary of findings,International Journal of Behavioral Nutrition and Physical Activity,,14,1,10.1186/s12966-017-0609-5,Johannes BrugHidde P. van der PloegAnne LoyenWolfgang AhrensOliver AllaisLene F. AndersenGreet CardonLaura CapranicaSebastien ChastinIlse De BourdeaudhuijMarieke De CraemerAlan DonnellyUlf EkelundPaul FinglasMarion Flechtner-MorsAntje Hebestreit,2017,http://link.springer.com/article/10.1186/s12966-017-0609-5,Article
Prescriptive analytics applications in sustainable operations research: conceptual framework and future research challenges,Annals of Operations Research,,,,10.1007/s10479-023-05251-3,Deepa Bhatt MishraSameen NaqviAngappa GunasekaranVartika Dutta,2023,http://link.springer.com/article/10.1007/s10479-023-05251-3,Article
ECR 2015 Book of Abstracts - B - Scientific Sessions and Late-Breaking Clinical Trials,Insights into Imaging,,6,1,10.1007/s13244-015-0387-z,,2015,http://link.springer.com/article/10.1007/s13244-015-0387-z,Article
Measuring Software Delivery Performance Using the Four Key Metrics of DevOps,Agile Processes in Software Engineering and Extreme Programming,,,,10.1007/978-3-030-78098-2_7,Marc SallinMartin KroppCraig AnslowJames W. QuiltyAndreas Meier,2021,http://link.springer.com/chapter/10.1007/978-3-030-78098-2_7,Chapter
Software project management tools in global software development: a systematic mapping study,SpringerPlus,,5,1,10.1186/s40064-016-3670-7,Saad Yasser ChadliAli IdriJoaquín Nicolás RosJosé Luis Fernández-AlemánJuan M. Carrillo de GeaAmbrosio Toval,2016,http://link.springer.com/article/10.1186/s40064-016-3670-7,Article
Quality attributes use in architecture design decision methods: research and practice,Computing,,102,2,10.1007/s00607-019-00758-9,Ioanna LytraCarlos CarrilloRafael CapillaUwe Zdun,2020,http://link.springer.com/article/10.1007/s00607-019-00758-9,Article
"39th ESCP European symposium on clinical pharmacy & 13th SFPC congress: clinical pharmacy at the front line of innovations. 21–23 October 2010, Lyon, France",International Journal of Clinical Pharmacy,,33,2,10.1007/s11096-011-9481-6,,2011,http://link.springer.com/article/10.1007/s11096-011-9481-6,Article
A systematic review on multi-device inclusive environments,Universal Access in the Information Society,,15,4,10.1007/s10209-015-0422-3,Ig Ibert BittencourtMaria Cecília BaranauskasRoberto PereiraDiego DermevalSeiji IsotaniPatrícia Jaques,2016,http://link.springer.com/article/10.1007/s10209-015-0422-3,Article
Software Design Smell Detection: a systematic mapping study,Software Quality Journal,,27,3,10.1007/s11219-018-9424-8,Khalid AlkharabshehYania CrespoEsperanza MansoJosé A. Taboada,2019,http://link.springer.com/article/10.1007/s11219-018-9424-8,Article
DaLiF: a data lifecycle framework for data-driven governments,Journal of Big Data,,8,1,10.1186/s40537-021-00481-3,Syed Iftikhar Hussain ShahVassilios PeristerasIoannis Magnisalis,2021,http://link.springer.com/article/10.1186/s40537-021-00481-3,Article
"Conceptualization, measurement, and application of semantic transparency in visual notations",Software and Systems Modeling,,20,6,10.1007/s10270-021-00888-9,Saša KuharGregor Polančič,2021,http://link.springer.com/article/10.1007/s10270-021-00888-9,Article
"ECR 2014, Part B",Insights into Imaging,,5,1,10.1007/s13244-014-0317-5,,2014,http://link.springer.com/article/10.1007/s13244-014-0317-5,Article
The potentials of augmented reality in supply chain management: a state-of-the-art review,Management Review Quarterly,,71,4,10.1007/s11301-020-00201-w,Abderahman RejebJohn G. KeoghSamuel Fosso WambaHorst Treiblmaier,2021,http://link.springer.com/article/10.1007/s11301-020-00201-w,Article
Online knowledge sharing mechanisms: a systematic review of the state of the art literature and recommendations for future research,Information Systems Frontiers,,18,6,10.1007/s10796-016-9628-z,Yeganeh CharbandNima Jafari Navimipour,2016,http://link.springer.com/article/10.1007/s10796-016-9628-z,Article
IFSO 2018 23rd World Congress,Obesity Surgery,,28,2,10.1007/s11695-018-3411-9,,2018,http://link.springer.com/article/10.1007/s11695-018-3411-9,Article
Automated compliance checking in the context of Industry 4.0: from a systematic review to an empirical fuzzy multi-criteria approach,Soft Computing,,25,8,10.1007/s00500-021-05599-3,Vitor Heitor Cardoso CunhaRodrigo Goyannes Gusmão CaiadoEduardo Thadeu CorseuilHugo Fernandes NevesLetícia Bacoccoli,2021,http://link.springer.com/article/10.1007/s00500-021-05599-3,Article
Posters,"Knee Surgery, Sports Traumatology, Arthroscopy",,26,1,10.1007/s00167-018-4867-9,,2018,http://link.springer.com/article/10.1007/s00167-018-4867-9,Article
Enhancing ERP Responsiveness Through Big Data Technologies: An Empirical Investigation,Information Systems Frontiers,,,,10.1007/s10796-023-10374-w,Florie BandaraUchitha JayawickramaMaduka SubasinghageFemi OlanHawazen AlamoudiMajed Alharthi,2023,http://link.springer.com/article/10.1007/s10796-023-10374-w,Article
Evaluating user interface generation approaches: model-based versus model-driven development,Software & Systems Modeling,,18,4,10.1007/s10270-018-0698-x,Jenny RuizEstefanía SerralMonique Snoeck,2019,http://link.springer.com/article/10.1007/s10270-018-0698-x,Article
A New Insight in the SMEs Internationalization Process,Risks and Resilience of Collaborative Networks,,,,10.1007/978-3-319-24141-8_36,Eric CostaAntónio Lucas SoaresJorge Pinho de Sousa,2015,http://link.springer.com/chapter/10.1007/978-3-319-24141-8_36,Chapter
Integrated process planning and scheduling in networked manufacturing systems for I4.0: a review and framework proposal,Wireless Networks,,27,3,10.1007/s11276-019-02082-8,Maria L. R. VarelaGoran D. PutnikVijay K. ManupatiGadhamsetty RajyalakshmiJustyna TrojanowskaJosé Machado,2021,http://link.springer.com/article/10.1007/s11276-019-02082-8,Article
"Reviewing the relationship between organizational performance, dynamic capabilities and strategic behavior",SN Business & Economics,,3,1,10.1007/s43546-022-00392-2,Henrique Faverzani DragoGilnei Luiz de MouraLuciana Santos Costa Vieira da SilvaClaudimar Pereira da VeigaFabíola KaczamLuciana Peixoto Santa RitaWesley Vieira da Silva,2022,http://link.springer.com/article/10.1007/s43546-022-00392-2,Article
Decision making process in lean assessment and implementation: a review,Management Review Quarterly,,72,4,10.1007/s11301-021-00222-z,Ahmad A. MumaniGhazi M. MagablehMahmoud Z. Mistarihi,2022,http://link.springer.com/article/10.1007/s11301-021-00222-z,Article
Innovation in humanitarian logistics and supply chain management: a systematic review,Annals of Operations Research,,,,10.1007/s10479-023-05208-6,Nezih AltayGraham HeaslipGyöngyi KovácsKaren SpensPeter TathamAlain Vaillancourt,2023,http://link.springer.com/article/10.1007/s10479-023-05208-6,Article
Blended Learning Adoption and Implementation in Higher Education: A Theoretical and Systematic Review,"Technology, Knowledge and Learning",,27,2,10.1007/s10758-020-09477-z,Bokolo Anthony Jr.Adzhar KamaludinAwanis RomliAnis Farihan Mat RaffeiDanakorn Nincarean A. L. Eh PhonAziman AbdullahGan Leong Ming,2022,http://link.springer.com/article/10.1007/s10758-020-09477-z,Article
Algorithms and software for data mining and machine learning: a critical comparative view from a systematic review of the literature,The Journal of Supercomputing,,77,10,10.1007/s11227-021-03708-5,Gilda Taranto-VeraPurificación Galindo-VillardónJavier Merchán-Sánchez-JaraJulio Salazar-PozoAlex Moreno-SalazarVanessa Salazar-Villalva,2021,http://link.springer.com/article/10.1007/s11227-021-03708-5,Article
On enhancing students’ cognitive abilities in online learning using brain activity and eye movements,Education and Information Technologies,,28,4,10.1007/s10639-022-11372-2,Nuraini JamilAbdelkader Nasreddine BelkacemAbderrahmane Lakas,2023,http://link.springer.com/article/10.1007/s10639-022-11372-2,Article
"Computer-aided methods for combating Covid-19 in prevention, detection, and service provision approaches",Neural Computing and Applications,,35,20,10.1007/s00521-023-08612-y,Bahareh RezazadehParvaneh AsghariAmir Masoud Rahmani,2023,http://link.springer.com/article/10.1007/s00521-023-08612-y,Article
Framework for Agile Development Using Cloud Computing: A Survey,Arabian Journal for Science and Engineering,,44,11,10.1007/s13369-019-03923-6,Muhammad YounasD. N. A. JawawiImran GhaniMuhammad Arif ShahMuhammad Mahboob KhurshidSyed Hamid Hussain Madni,2019,http://link.springer.com/article/10.1007/s13369-019-03923-6,Article
An analytical study of information extraction from unstructured and multidimensional big data,Journal of Big Data,,6,1,10.1186/s40537-019-0254-8,Kiran AdnanRehan Akbar,2019,http://link.springer.com/article/10.1186/s40537-019-0254-8,Article
SeSG: a search string generator for Secondary Studies with hybrid search strategies using text mining,Empirical Software Engineering,,27,5,10.1007/s10664-021-10084-4,Leonardo Fuchs AlvesFrancisco J. S. VasconcellosBruno Magalhães Nogueira,2022,http://link.springer.com/article/10.1007/s10664-021-10084-4,Article
Gamification Strategies: A Characterization Using Formal Argumentation Theory,SN Computer Science,,3,4,10.1007/s42979-022-01164-3,Esteban GuerreroPanu Kalmi,2022,http://link.springer.com/article/10.1007/s42979-022-01164-3,Article
Plenary Sessions,Obesity Surgery,,21,8,10.1007/s11695-011-0435-9,,2011,http://link.springer.com/article/10.1007/s11695-011-0435-9,Article
"13th International Congress of the European Association for
Endoscopic Surgery and other Interventional Techniques (E.A.E.S.), Venice, Lido, Italy, 1–4 June 2005: Poster presentations",Surgical Endoscopy And Other Interventional Techniques,,20,1,10.1007/s00464-006-3017-5,,2006,http://link.springer.com/article/10.1007/s00464-006-3017-5,Article
4D Simulation Research in Construction: A Systematic Mapping Study,Archives of Computational Methods in Engineering,,30,4,10.1007/s11831-022-09873-x,Conrad BotonLouis RivestSylvain KubickiOussama Ghnaya,2023,http://link.springer.com/article/10.1007/s11831-022-09873-x,Article
Integrating user experience assessment in Re-CRUD console framework development,Wireless Networks,,29,1,10.1007/s11276-022-03098-3,Asyraf Wahi AnuarAzri AzmiNazri KamaHazlifah Mohd RusliNur Azaliah Abu BakarNorliza Mohamed,2023,http://link.springer.com/article/10.1007/s11276-022-03098-3,Article
A framework and tool to manage Cloud Computing service quality,Software Quality Journal,,23,4,10.1007/s11219-014-9248-0,Francisco José Domínguez-MayoJulián Alberto García-GarcíaMaría José EscalonaManuel MejíasMatias UrbietaGustavo Rossi,2015,http://link.springer.com/article/10.1007/s11219-014-9248-0,Article
Flipped classrooms in higher education during the COVID-19 pandemic: findings and future research recommendations,International Journal of Educational Technology in Higher Education,,19,1,10.1186/s41239-021-00316-4,Blaženka DivjakBart RientiesFrancisco IniestoPetra VondraMirza Žižak,2022,http://link.springer.com/article/10.1186/s41239-021-00316-4,Article
38th EUROPEAN SOCIETY OF NEURORADIOLOGY Diagnostic and Interventional ANNUAL MEETING,Neuroradiology,,57,1,10.1007/s00234-015-1557-x,,2015,http://link.springer.com/article/10.1007/s00234-015-1557-x,Article
Deep security analysis of program code,Empirical Software Engineering,,27,1,10.1007/s10664-021-10029-x,Tim SonnekalbThomas S. HeinzePatrick Mäder,2021,http://link.springer.com/article/10.1007/s10664-021-10029-x,Article
The International Headache Congress – IHS and EHF joint congress 2021,The Journal of Headache and Pain,,22,1,10.1186/s10194-021-01293-9,,2021,http://link.springer.com/article/10.1186/s10194-021-01293-9,Article
Rejuvenating human resource accounting research: a review using bibliometric analysis,Management Review Quarterly,,,,10.1007/s11301-023-00357-1,Lakshmi Bhooshetty,2023,http://link.springer.com/article/10.1007/s11301-023-00357-1,Article
Development of recommendation systems for software engineering: the CROSSMINER experience,Empirical Software Engineering,,26,4,10.1007/s10664-021-09963-7,Juri Di RoccoDavide Di RuscioClaudio Di SipioPhuong T. NguyenRiccardo Rubei,2021,http://link.springer.com/article/10.1007/s10664-021-09963-7,Article
Short text similarity measurement methods: a review,Soft Computing,,25,6,10.1007/s00500-020-05479-2,Dimas Wibisono PrakosoAsad AbdiChintan Amrit,2021,http://link.springer.com/article/10.1007/s00500-020-05479-2,Article
A survey on the use of machine learning methods in context-aware middlewares for human activity recognition,Artificial Intelligence Review,,55,4,10.1007/s10462-021-10094-0,Leandro MirandaJosé ViterboFlávia Bernardini,2022,http://link.springer.com/article/10.1007/s10462-021-10094-0,Article
Cyber risk management for autonomous passenger ships using threat-informed defense-in-depth,International Journal of Information Security,,22,1,10.1007/s10207-022-00638-y,Ahmed AmroVasileios Gkioulos,2023,http://link.springer.com/article/10.1007/s10207-022-00638-y,Article
Model-driven development platform selection: four industry case studies,Software and Systems Modeling,,20,5,10.1007/s10270-020-00855-w,Siamak FarshidiSlinger JansenSven Fortuin,2021,http://link.springer.com/article/10.1007/s10270-020-00855-w,Article
